Method,Runs,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_precision_mean,macro_precision_std,macro_precision_ci_low,macro_precision_ci_high,macro_recall_mean,macro_recall_std,macro_recall_ci_low,macro_recall_ci_high,macro_f1_mean,macro_f1_std,macro_f1_ci_low,macro_f1_ci_high,weighted_f1_mean,weighted_f1_std,weighted_f1_ci_low,weighted_f1_ci_high,family_macro_f1_mean,family_macro_f1_std,family_macro_f1_ci_low,family_macro_f1_ci_high,rare_class_recall_mean,rare_class_recall_std,rare_class_recall_ci_low,rare_class_recall_ci_high,mcc_mean,mcc_std,mcc_ci_low,mcc_ci_high,ece_mean,ece_std,ece_ci_low,ece_ci_high,brier_mean,brier_std,brier_ci_low,brier_ci_high,nll_mean,nll_std,nll_ci_low,nll_ci_high,latency_ms_per_sample_mean,latency_ms_per_sample_std,latency_ms_per_sample_ci_low,latency_ms_per_sample_ci_high,throughput_samples_sec_mean,throughput_samples_sec_std,throughput_samples_sec_ci_low,throughput_samples_sec_ci_high,edge_route_rate_mean,edge_route_rate_std,edge_route_rate_ci_low,edge_route_rate_ci_high,specialist_route_rate_mean,specialist_route_rate_std,specialist_route_rate_ci_low,specialist_route_rate_ci_high,cloud_route_rate_mean,cloud_route_rate_std,cloud_route_rate_ci_low,cloud_route_rate_ci_high,mean_uncertainty_mean,mean_uncertainty_std,mean_uncertainty_ci_low,mean_uncertainty_ci_high,mean_reconstruction_error_mean,mean_reconstruction_error_std,mean_reconstruction_error_ci_low,mean_reconstruction_error_ci_high,train_time_sec_mean,train_time_sec_std,train_time_sec_ci_low,train_time_sec_ci_high,model_size_mb_mean,model_size_mb_std,model_size_mb_ci_low,model_size_mb_ci_high,memory_delta_mb_mean,memory_delta_mb_std,memory_delta_mb_ci_low,memory_delta_mb_ci_high
fixed_edge_only,2,0.8844925011683732,0.10362808051259192,-0.04656886215237643,1.815553864489123,0.6149867077901779,0.041878654310509626,0.2387219272064675,0.9912514883738883,0.5826477894009015,0.059307582725726816,0.049790299860084875,1.115505278941718,0.6149867077901779,0.041878654310509626,0.2387219272064675,0.9912514883738883,0.5537787949299582,0.0503708274510375,0.10121486586578365,1.0063427239941327,0.8721065877382795,0.1159327870240147,-0.16950817735463664,1.9137213528311956,0.54512721642163,0.046724739279257084,0.12532208986748594,0.964932342975774,0.17869644355854308,0.01835313069163294,0.013800106596291828,0.34359278052079434,0.8748063871237634,0.11204842840577538,-0.1319088004334562,1.881521574680983,0.10714322764839723,0.039163805315001424,-0.2447296024672092,0.45901605776400367,0.18330133954658676,0.11824127893169796,-0.8790544024335867,1.2456570815267602,0.3597274422645569,0.14363679689991496,-0.9307979759729281,1.650252860502042,0.05383669456601308,0.0033939467158483443,0.02334329315719542,0.08433009597483074,18611.67519277206,1173.3081758853352,8069.919479151165,29153.430906392958,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16339901834726334,0.008358531386544122,0.08830059338734707,0.2384974433071796,0.39309656620025635,0.0314518328201636,0.11051305988007942,0.6756800725204333,,,,,,,,,,,,
fixed_cloud_only,2,0.8805455240684879,0.11062794795604122,-0.11340715300356219,1.874498201140538,0.5928316176387205,0.03816083497912036,0.24997011846426975,0.9356931168131712,0.5888198144382877,0.04522350038079519,0.18250278424333688,0.9951368446332385,0.5928316176387205,0.03816083497912036,0.24997011846426975,0.9356931168131712,0.5473505635018463,0.05141851287341952,0.08537355438379829,1.0093275726198943,0.8657243594175001,0.13034052008953603,-0.30533875137468547,2.0367874702096858,0.55062307888221,0.02806363277197815,0.2984813422104022,0.8027648155540177,0.19282268931836488,0.007581837862515822,0.12470257880552858,0.26094279983120117,0.8709391351228184,0.1187476737058382,-0.19596638338952022,1.937844653635157,0.06267173675408802,0.008251828976214947,-0.011468005085005409,0.13681147859318143,0.17071241125645878,0.14949748276768904,-1.1724691803565557,1.5138940028694734,0.3084449842572212,0.2068598829683941,-1.5501173253044316,2.167007293818874,0.05620502400476832,0.0013672796014006165,0.04392050417748054,0.06848954383205609,17797.269872067667,432.94784563450037,13907.38781105373,21687.151933081605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8936310708522797,0.08055160478305132,0.16990361593846548,1.6173585257660938,0.40151838958263397,0.05321088093376159,-0.07656240763589794,0.8795991868011659,,,,,,,,,,,,
no_cost_objective,2,0.8771933551429665,0.09856894884960114,-0.008413513603882317,1.7628002238898153,0.59336066501949,0.04208720305251924,0.21522214832975656,0.9714991817092236,0.569909776695543,0.044750453230546175,0.16784290651945233,0.9719766468716337,0.59336066501949,0.04208720305251924,0.21522214832975656,0.9714991817092236,0.527999727883731,0.04593292884410064,0.11530873583445955,0.9406907199330024,0.8632745889644213,0.11220716429711988,-0.14486678399227793,1.8714159619211206,0.5548284277140526,0.022845305785413723,0.3495714988504312,0.760085356577674,0.22996178107049015,0.020121836666024753,0.049174251415243925,0.4107493107257364,0.8674163156875383,0.10577092814451122,-0.0828977697495975,1.817730401124674,0.08675364609539456,0.0004970439680084005,0.08228788322306167,0.09121940896772744,0.19029642572819916,0.13363430940589913,-1.0103602079413279,1.3909530593977262,0.35049446672201157,0.1782325844214608,-1.25086177010862,1.9518507035526431,0.05612676721763433,0.00018383394359978983,0.05447508476529119,0.057778449669977465,17816.90650487008,58.356330640580595,17292.595676223464,18341.217333516695,0.0,0.0,0.0,0.0,0.9977949611250372,1.8025409725632187e-05,0.9976330092441325,0.9979569130059419,0.0022050388749628247,1.8025409725620227e-05,0.002043086994058191,0.0023669907558674583,0.7967309653759003,0.048310530077672706,0.3626780737815175,1.230783856970283,0.42646266520023346,0.027822588768314775,0.17648662297688983,0.6764387074235771,,,,,,,,,,,,
full_rcsmoe,2,0.8218846921867697,0.021047670089616163,0.6327788792504567,1.0109905051230827,0.5842876089916513,0.0020252690656303203,0.5660912883803864,0.6024839296029163,0.5664856370288713,0.01317138256965618,0.44814545981567755,0.6848258142420651,0.5842876089916513,0.0020252690656303203,0.5660912883803864,0.6024839296029163,0.5242766385289382,0.012791147575467616,0.4093527371969564,0.6392005398609201,0.7983418798012935,0.01767185916199796,0.6395665246813768,0.9571172349212101,0.5338397874425123,0.0006129683102839832,0.5283324856781408,0.5393470892068837,0.2356607724618004,0.09022155267490227,-0.5749477172342161,1.046269262157817,0.8080447578228814,0.023221861542737626,0.5994046097097472,1.0166849059360157,0.08565508099865976,0.008106589556405858,0.012820263573359109,0.1584898984239604,0.26171722122308905,0.025798480125814618,0.02992707362283953,0.49350736882333857,0.4348253756761551,0.03659650895707014,0.1060187881778038,0.7636319631745063,0.05730221353605624,0.002611648740571315,0.033837480570981376,0.0807669465011311,17469.47697504219,796.2020090480565,10315.88574420852,24623.06820587586,0.0,0.0,0.0,0.0,0.9982198241067256,0.00042660136350636675,0.9943869629253157,1.0020526852881355,0.001780175893274419,0.00042660136350635076,-0.002052685288135291,0.005613037074684129,0.7455094754695892,0.07685321882622037,0.05501070002200259,1.4360082509171759,0.36657676100730896,0.0471920370118906,-0.057426869097902955,0.7905803911125209,,,,,,,,,,,,
no_rarity_conditioning,2,0.8161405446743426,0.01982194222827396,0.6380474596395449,0.9942336297091403,0.5800862094379003,0.00592976691073928,0.5268093675165031,0.6333630513592976,0.5613027403932502,0.01946343992128867,0.38643067079214866,0.7361748099943518,0.5800862094379003,0.00592976691073928,0.5268093675165031,0.6333630513592976,0.5214726214420391,0.007660979622091307,0.4526414504309144,0.5903037924531638,0.7972523078924465,0.0302056595170797,0.5258652244796902,1.0686393913052028,0.5370021794871451,0.01443051573765868,0.40734913960001295,0.6666552193742773,0.22176865545722757,0.009462995430067104,0.13674701477224244,0.3067902961422127,0.8015778703324395,0.021184202680622707,0.6112453607354196,0.9919103799294595,0.08343695986674249,0.013030403834547725,-0.033636573665896355,0.20051049339938132,0.271493318002738,0.012075204188206214,0.16300191279445966,0.3799847232110164,0.45228616893291473,0.010343658488119358,0.3593520845994465,0.545220253266383,0.054335464587671134,0.00012891592781626195,0.05317720093063289,0.05549372824470938,18404.237861857488,43.665760801297466,18011.916566500156,18796.55915721482,8.49725963376811e-06,1.20169398170803e-05,-9.947066096932229e-05,0.00011646518023685851,0.9981518460296555,3.004234954269414e-05,0.9978819262281478,0.9984217658311632,0.0018396567107107956,1.802540972562038e-05,0.0016777048298061608,0.0020016085916154305,0.7734646797180176,0.06999074251113106,0.14462280770894465,1.4023065517270905,0.358284056186676,0.002050992089085636,0.33985662337909733,0.3767114889942547,,,,,,,,,,,,
no_family_objective,2,0.7989335939159621,7.811010881102047e-05,0.7982318024320421,0.7996353853998821,0.5725292718207087,0.011357476666724875,0.4704863925461133,0.674572151095304,0.5573082479948761,0.015007630542193048,0.4224700373119087,0.6921464586778435,0.5725292718207087,0.011357476666724875,0.4704863925461133,0.674572151095304,0.5195906360890876,0.010329865276117569,0.42678047884861803,0.6124007933295572,0.7702841764923549,0.0016846934950168725,0.7551478059787912,0.7854205470059187,0.049935590260503065,0.002309380708371249,0.029186627815893235,0.0706845527051129,0.1976635405248921,0.012214288455392564,0.08792251275502191,0.30740456829476226,0.7839306155246671,0.00026129752945480846,0.7815829503666989,0.7862782806826354,0.07205138816804678,0.003335522713640601,0.04208290559278395,0.1020198707433096,0.28450040959323186,0.0026806396131477082,0.26041581823109,0.3085850009553737,0.4677608460187912,0.006951342945174519,0.4053055075870634,0.530216184450519,0.055370110889220864,0.0005396339011627251,0.05052169264944067,0.06021852912900106,18061.14305877398,176.02285658708172,16479.640438838192,19642.64567870977,0.0,0.0,0.0,0.0,0.9984874877851893,0.00015622021762204093,0.9970839048173491,0.9998910707530294,0.0015125122148107236,0.00015622021762204386,0.00010892924697054863,0.0029160951826508984,0.8450564444065094,0.020442106611602333,0.6613914034562056,1.0287214853568132,0.31131039559841156,0.005023798975377291,0.26617335262774877,0.35644743856907435,,,,,,,,,,,,
no_sparse_experts,2,0.8633470705697412,0.12144319379141355,-0.22777673504509077,1.9544708761845733,0.5771393809878527,0.01797649800999078,0.4156269544126928,0.7386518075630125,0.5670877459738489,0.03360425353587268,0.26516550679193185,0.869009985155766,0.5771393809878527,0.01797649800999078,0.4156269544126928,0.7386518075630125,0.5195071729955272,0.03295432185101175,0.2234243383222987,0.8155900076687557,0.8430739220247099,0.14100132894616685,-0.42377275610809173,2.1099206001575115,0.5329126240047549,0.02697720436794615,0.2905320592663162,0.7752931887431936,0.1701322249015414,0.05235931819797984,-0.30029758469077694,0.6405620344938597,0.8529093523805152,0.12981032924064323,-0.3133901826303903,2.0192088873914207,0.09763530371747457,0.0331040152996847,-0.19979247323117016,0.39506308066611934,0.2098735037919578,0.12928357178455646,-0.9516933032481357,1.3714403108320514,0.3910770118236542,0.1583682584193822,-1.031805336873,1.8139593605203084,0.058555371542645604,0.0022096881120865887,0.038702111538442385,0.07840863154684882,17090.021142276728,644.9214744695854,11295.6315879752,22884.410696578256,0.49030462675787057,0.14489425184444576,-0.8115185759138923,1.7921278294296334,0.5086799507158941,0.14397495594843904,-0.7848837060297318,1.80224360746152,0.001015422526235289,0.0009192958960066429,-0.007244123399901127,0.009274968452371704,0.16420456022024155,0.012336477389547833,0.053365708433419784,0.2750434120070633,0.47230491042137146,0.06645415830573344,-0.1247620131809708,1.0693718340237137,,,,,,,,,,,,
no_ood_reconstruction,2,0.8045715256829673,0.0005527792315857135,0.7996050013352249,0.8095380500307097,0.5434158158236146,0.012319430609355682,0.43273012328018934,0.65410150836704,0.5383504221777489,0.004889200690470924,0.49442269681700096,0.5822781475384967,0.5434158158236146,0.012319430609355682,0.43273012328018934,0.65410150836704,0.4865697561699618,0.017053379458409904,0.3333512207186188,0.6397882916213048,0.7731182556559902,0.007763536067112496,0.7033656515444314,0.842870859767549,0.5110286791797236,0.02700209315554828,0.26842449755673375,0.7536328608027134,0.17217668896653032,0.012190404293269466,0.0626502518793989,0.28170312605366177,0.7896234440791619,0.00022256551345160467,0.7876237722782617,0.791623115880062,0.0902265944657707,0.022980641324513728,-0.11624627597388798,0.29669946490542937,0.2727499343074625,0.009176194420398033,0.19030509845899857,0.3551947701559265,0.46311962604522705,0.004257000286994341,0.4248719959505621,0.501367256139892,0.05690306453664261,0.0009887628208637344,0.04801938305339448,0.06578674601989074,17576.399412923474,305.41220241238096,14832.379643896567,20320.419181950383,0.0,0.0,0.0,0.0,0.9986404384585972,0.00018025409725624337,0.9970209196495504,1.0002599572676438,0.0013595615414028976,0.00018025409725620442,-0.00025995726764345764,0.002979080350449253,0.8652741312980652,0.04183344454536703,0.4894155443383306,1.2411327182577998,0.0,0.0,0.0,0.0,,,,,,,,,,,,
