Family,Samples,Accuracy,Mean confidence,Mean uncertainty,Mean reconstruction error,Edge route,Specialist route,Cloud route
Benign,2771,0.7224828581739444,0.4622381925582886,0.8983888626098633,0.7269192337989807,0.0,1.0,0.0
BruteForce,32,0.1875,0.3466626703739166,0.7711008787155151,65.6915512084961,0.0,0.84375,0.15625
DDoS,85599,0.9339711912522343,0.7772005200386047,0.7930949926376343,0.32397952675819397,0.0,0.9986448439818222,0.0013551560181777824
DoS,20425,0.36244798041615667,0.602838397026062,0.7868741154670715,0.052153099328279495,0.0,0.9976009791921665,0.0023990208078335374
Malware,9,0.6666666666666666,0.23775628209114075,0.8998209834098816,1.0211739540100098,0.0,1.0,0.0
Mirai,6675,0.7138576779026217,0.688345193862915,0.856770396232605,0.07482212036848068,0.0,0.9997003745318352,0.000299625468164794
Recon,880,0.33636363636363636,0.39942842721939087,0.8692749738693237,2.229775905609131,0.0,0.9170454545454545,0.08295454545454546
Spoofing,1241,0.43110394842868655,0.4529699385166168,0.9000918865203857,3.0582821369171143,0.0,1.0,0.0
Web,53,0.22641509433962265,0.24733968079090118,0.8964967727661133,0.628629207611084,0.0,1.0,0.0
