Family,Samples,Accuracy,Mean confidence,Mean uncertainty,Mean reconstruction error,Edge route,Specialist route,Cloud route
Benign,2771,0.8433778419343197,0.39777880907058716,0.911073625087738,1.2853648662567139,0.0,1.0,0.0
BruteForce,32,0.15625,0.2975315749645233,0.8960790038108826,89.25834655761719,0.0,1.0,0.0
DDoS,85599,0.9774530076285938,0.8039178252220154,0.6815958619117737,0.3435704708099365,0.0,0.9989719506068996,0.0010280493931003867
DoS,20425,0.3268053855569155,0.6109657287597656,0.6063931584358215,0.07511875033378601,0.0,0.9985801713586291,0.001419828641370869
Malware,9,0.5555555555555556,0.31931522488594055,0.8556661009788513,1.1152336597442627,0.0,1.0,0.0
Mirai,6675,0.7348314606741573,0.6673250198364258,0.9154577851295471,0.10390348732471466,0.0,0.9995505617977528,0.00044943820224719103
Recon,880,0.35,0.36160871386528015,0.8936331868171692,3.637246608734131,0.0,0.9386363636363636,0.06136363636363636
Spoofing,1241,0.4536663980660757,0.43325743079185486,0.891052782535553,4.642106056213379,0.0,1.0,0.0
Web,53,0.1509433962264151,0.22275373339653015,0.8780471682548523,0.7714323997497559,0.0,1.0,0.0
