Group,Samples,Mean confidence,Median confidence,Mean uncertainty,Mean reconstruction error,High-confidence share (>=0.9)
Correct,94972,0.7779746055603027,0.8742778897285461,0.8011205196380615,0.06796648353338242,0.4792675736006402
Incorrect,22713,0.5182183384895325,0.5364707112312317,0.7945523858070374,1.4422816038131714,8.805529872760093e-05
Rare correct,215,0.6476845145225525,0.6594661474227905,0.6968704462051392,10.732800483703613,0.06511627906976744
Rare incorrect,108,0.3179507553577423,0.26770251989364624,0.8646485805511475,0.5081462860107422,0.0
