Group,Samples,Mean confidence,Median confidence,Mean uncertainty,Mean reconstruction error,High-confidence share (>=0.9)
Correct,98475,0.7887818813323975,0.8710911870002747,0.7010576725006104,0.10033915936946869,0.4920538207666921
Incorrect,19210,0.5234232544898987,0.549981951713562,0.6404589414596558,1.9358049631118774,0.0008849557522123894
Rare correct,200,0.6780322194099426,0.6621084809303284,0.7276136875152588,14.997525215148926,0.225
Rare incorrect,123,0.3207617998123169,0.2674144208431244,0.8060699701309204,2.450411319732666,0.0
