Variant,macro_f1,delta_macro_f1,balanced_accuracy,delta_balanced_accuracy,family_macro_f1,delta_family_macro_f1,rare_class_recall,delta_rare_class_recall,ece,delta_ece,latency_ms_per_sample,delta_latency_ms_per_sample,edge_route_rate,delta_edge_route_rate,specialist_route_rate,delta_specialist_route_rate,cloud_route_rate,delta_cloud_route_rate
fixed_edge_only,0.5537787949299582,0.02950215640101994,0.6149867077901779,0.030699098798526614,0.54512721642163,0.01128742897911772,0.17869644355854308,-0.05696432890325731,0.10714322764839723,0.021488146649737472,0.05383669456601308,-0.0034655189700431577,1.0,1.0,0.0,-0.9982198241067256,0.0,-0.001780175893274419
fixed_cloud_only,0.5473505635018463,0.023073924972908055,0.5928316176387205,0.008544008647069168,0.55062307888221,0.0167832914396977,0.19282268931836488,-0.04283808314343551,0.06267173675408802,-0.02298334424457174,0.05620502400476832,-0.0010971895312879218,0.0,0.0,0.0,-0.9982198241067256,1.0,0.9982198241067256
no_cost_objective,0.527999727883731,0.003723089354792708,0.59336066501949,0.0090730560278387,0.5548284277140526,0.02098864027154035,0.22996178107049015,-0.005698991391310249,0.08675364609539456,0.0010985650967347965,0.05612676721763433,-0.0011754463184219105,0.0,0.0,0.9977949611250372,-0.00042486298168842307,0.0022050388749628247,0.0004248629816884057
full_rcsmoe,0.5242766385289382,0.0,0.5842876089916513,0.0,0.5338397874425123,0.0,0.2356607724618004,0.0,0.08565508099865976,0.0,0.05730221353605624,0.0,0.0,0.0,0.9982198241067256,0.0,0.001780175893274419,0.0
no_rarity_conditioning,0.5214726214420391,-0.0028040170868991465,0.5800862094379003,-0.004201399553750984,0.5370021794871451,0.003162392044632867,0.22176865545722757,-0.013892117004572824,0.08343695986674249,-0.0022181211319172722,0.054335464587671134,-0.0029667489483851048,8.49725963376811e-06,8.49725963376811e-06,0.9981518460296555,-6.797807707015213e-05,0.0018396567107107956,5.948081743637661e-05
no_family_objective,0.5195906360890876,-0.004686002439850623,0.5725292718207087,-0.011758337170942657,0.049935590260503065,-0.48390419718200917,0.1976635405248921,-0.03799723193690829,0.07205138816804678,-0.013603692830612982,0.055370110889220864,-0.001932102646835375,0.0,0.0,0.9984874877851893,0.0002676636784636477,0.0015125122148107236,-0.0002676636784636954
no_sparse_experts,0.5195071729955272,-0.004769465533411066,0.5771393809878527,-0.007148228003798662,0.5329126240047549,-0.000927163437757339,0.1701322249015414,-0.065528547560259,0.09763530371747457,0.011980222718814812,0.058555371542645604,0.0012531580065893652,0.49030462675787057,0.49030462675787057,0.5086799507158941,-0.4895398733908315,0.001015422526235289,-0.00076475336703913
no_ood_reconstruction,0.4865697561699618,-0.03770688235897646,0.5434158158236146,-0.040871793168036685,0.5110286791797236,-0.02281110826278865,0.17217668896653032,-0.06348408349527007,0.0902265944657707,0.0045715134671109325,0.05690306453664261,-0.0003991489994136302,0.0,0.0,0.9986404384585972,0.00042061435187157326,0.0013595615414028976,-0.00042061435187152143
