Class,Samples,Accuracy,Mean confidence,Mean uncertainty,Mean reconstruction error,Edge route,Specialist route,Cloud route
Backdoor_Malware,9,0.5555555555555556,0.31931522488594055,0.8556661009788513,1.1152336597442627,0.0,1.0,0.0
BenignTraffic,2771,0.8433778419343197,0.39777880907058716,0.911073625087738,1.2853648662567139,0.0,1.0,0.0
BrowserHijacking,13,0.0,0.2066490799188614,0.8878234028816223,0.7236315011978149,0.0,1.0,0.0
CommandInjection,12,0.3333333333333333,0.2574050724506378,0.8756535053253174,0.9300989508628845,0.0,1.0,0.0
DDoS-ACK_Fragmentation,729,0.9835390946502057,0.9216856360435486,0.7286476492881775,0.7409564256668091,0.0,1.0,0.0
DDoS-HTTP_Flood,71,0.7323943661971831,0.5818043947219849,0.5848475694656372,0.36496785283088684,0.0,0.39436619718309857,0.6056338028169014
DDoS-ICMP_Flood,18045,0.99833748960931,0.9935978055000305,0.7441732287406921,0.008844166062772274,0.0,0.999778331947908,0.00022166805209199224
DDoS-ICMP_Fragmentation,1140,0.9657894736842105,0.9160441160202026,0.7405962347984314,0.46527254581451416,0.0,0.9982456140350877,0.0017543859649122807
DDoS-PSHACK_Flood,10333,0.9967095712764928,0.9888766407966614,0.6710696220397949,0.021460263058543205,0.0,0.9999032226846027,9.677731539727088e-05
DDoS-RSTFINFlood,10182,0.9981339618935376,0.9984955191612244,0.870968759059906,0.031581513583660126,0.0,1.0,0.0
DDoS-SYN_Flood,10221,0.9357205752861755,0.6151794195175171,0.5715082883834839,0.02580420859158039,0.0,1.0,0.0
DDoS-SlowLoris,62,0.7580645161290323,0.6711222529411316,0.6697238683700562,0.4503842294216156,0.0,0.43548387096774194,0.5645161290322581
DDoS-SynonymousIP_Flood,9048,0.9678381962864722,0.8038567304611206,0.7030725479125977,0.049154140055179596,0.0,1.0,0.0
DDoS-TCP_Flood,11374,0.9942852118867592,0.5754932165145874,0.5364205837249756,0.05363261327147484,0.0,1.0,0.0
DDoS-UDP_Flood,13672,0.946459918080749,0.5778921246528625,0.6438736915588379,1.8858745098114014,0.0,0.9997805734347571,0.00021942656524283206
DDoS-UDP_Fragmentation,722,0.9764542936288089,0.9606338739395142,0.7581249475479126,0.6645309329032898,0.0,1.0,0.0
DNS_Spoofing,457,0.31072210065645517,0.34155401587486267,0.8876248002052307,7.889842987060547,0.0,1.0,0.0
DictionaryBruteForce,32,0.15625,0.2975315749645233,0.8960790038108826,89.25834655761719,0.0,1.0,0.0
DoS-HTTP_Flood,180,0.7277777777777777,0.5728887915611267,0.6671084761619568,0.7392114996910095,0.0,0.9333333333333333,0.06666666666666667
DoS-SYN_Flood,5112,0.4688967136150235,0.6505772471427917,0.6494017839431763,0.06234041973948479,0.0,0.9976525821596244,0.002347417840375587
DoS-TCP_Flood,6770,0.03382570162481536,0.5485183000564575,0.5347148776054382,0.09402637928724289,0.0,1.0,0.0
DoS-UDP_Flood,8363,0.4684921678823389,0.6381245851516724,0.6368215680122375,0.05333010479807854,0.0,0.9994021284228147,0.0005978715771852207
MITM-ArpSpoofing,784,0.5369897959183674,0.48671209812164307,0.8930509686470032,2.7489733695983887,0.0,1.0,0.0
Mirai-greeth_flood,2493,0.8435619735258725,0.5067435503005981,0.9092772006988525,0.09797915816307068,0.0,1.0,0.0
Mirai-greip_flood,1928,0.2946058091286307,0.5070573687553406,0.9100651741027832,0.05499739199876785,0.0,0.9984439834024896,0.0015560165975103733
Mirai-udpplain,2254,0.9911268855368234,0.9820215702056885,0.9269062876701355,0.15228870511054993,0.0,1.0,0.0
Recon-HostDiscovery,333,0.5405405405405406,0.3347663879394531,0.9018503427505493,3.389354705810547,0.0,1.0,0.0
Recon-OSScan,243,0.0205761316872428,0.31684383749961853,0.9040074944496155,4.898184299468994,0.0,1.0,0.0
Recon-PingSweep,5,0.0,0.3333689570426941,0.8789499402046204,47.7831916809082,0.0,1.0,0.0
Recon-PortScan,208,0.19230769230769232,0.2971332371234894,0.902389407157898,2.6056935787200928,0.0,1.0,0.0
SqlInjection,15,0.13333333333333333,0.2558576166629791,0.8707212209701538,0.6629693508148193,0.0,1.0,0.0
Uploading_Attack,3,0.0,0.1661473661661148,0.868073046207428,0.5939567685127258,0.0,1.0,0.0
VulnerabilityScan,91,0.9120879120879121,0.7282949686050415,0.8166539072990417,1.1094858646392822,0.0,0.4065934065934066,0.5934065934065934
XSS,10,0.2,0.16943421959877014,0.8821918368339539,0.859110951423645,0.0,1.0,0.0
