Expert,Top-1 assignment rate,Mean gate probability,Mean probability when selected
Expert 1,0.18146747673875174,0.14957229793071747,0.3904813230037689
Expert 2,0.22630751582614606,0.19298109412193298,0.5859062075614929
Expert 3,0.08943365764540935,0.14541274309158325,0.5784977078437805
Expert 4,0.0879041509113311,0.12728923559188843,0.6411541104316711
Expert 5,0.2098908102137061,0.20943863689899445,0.7602101564407349
Expert 6,0.20499638866465564,0.17530600726604462,0.6670481562614441
