Family,Samples,Expert 1,Expert 2,Expert 3,Expert 4,Expert 5,Expert 6
Benign,2771,0.0,0.00036088054853843375,0.0,0.0,0.0,0.9996391194514616
BruteForce,32,0.0,0.0,0.0,0.0,0.0,1.0
DDoS,85599,0.1338450215539901,0.17173097816563276,0.12248974871201766,0.12079580368929543,0.22614750172315098,0.22499094615591303
DoS,20425,0.4846022031823745,0.2501346389228886,0.0019583843329253367,0.0002447980416156671,0.26100367197062424,0.0020563035495716033
Malware,9,0.0,0.0,0.0,0.0,0.0,1.0
Mirai,6675,0.000149812734082397,0.9958052434456929,0.0,0.0,0.0008988764044943821,0.003146067415730337
Recon,880,0.0,0.010227272727272727,0.0,0.0,0.005681818181818182,0.9840909090909091
Spoofing,1241,0.0,0.13456889605157132,0.0,0.0,0.0008058017727639,0.8646253021756648
Web,53,0.0,0.0,0.0,0.0,0.0,1.0
