Family,Precision,Recall,F1,Support
Malware,0.0,0.0,0.0,9
Web,0.0,0.0,0.0,53
BruteForce,1.0,0.15625,0.2702702702702703,32
DoS,0.7266058683584457,0.3588739290085679,0.48045095533051485,20425
Recon,0.7693602693602694,0.5193181818181818,0.6200814111261872,880
Spoofing,0.8203389830508474,0.5850120870265915,0.6829727187206021,1241
Benign,0.7564722617354196,0.9595813785636954,0.8460069996818327,2771
DDoS,0.8632492886253009,0.9675463498405356,0.9124270133303956,85599
Mirai,0.9975965149466727,0.9949063670411985,0.9962496249624962,6675
