Feature,Mean attention received,Rare attention received,Common attention received,Rare-common gain
Weight,0.09166558,0.040893704,0.09181503,-0.05092133
IAT,0.09062709,0.09002716,0.090630986,-0.00060382485
Variance,0.051289275,0.14460942,0.051017947,0.093591474
Magnitue,0.04550652,0.02499864,0.045567043,-0.020568402
syn_flag_number,0.039290413,0.012007538,0.039370473,-0.027362935
Max,0.03805443,0.03718202,0.038057894,-0.00087587535
cwr_flag_number,0.037333786,0.0060976753,0.03742572,-0.031328045
psh_flag_number,0.03512695,0.01584006,0.035183843,-0.019343784
UDP,0.03218156,0.025387712,0.032202028,-0.006814316
rst_flag_number,0.028703224,0.01329181,0.028748542,-0.015456732
Header_Length,0.028520882,0.015067361,0.028560556,-0.013493195
ICMP,0.028417958,0.015750648,0.028455244,-0.012704596
syn_count,0.028280595,0.019532945,0.028306358,-0.008773413
Tot sum,0.027448744,0.00924725,0.027502175,-0.018254925
fin_flag_number,0.024566252,0.0059649344,0.024620887,-0.018655952
ece_flag_number,0.021832699,0.013791733,0.021856388,-0.008064655
ack_flag_number,0.020004017,0.09881456,0.019774973,0.07903959
rst_count,0.019534789,0.025187409,0.019519009,0.0056684
ARP,0.019295124,0.010426719,0.019321326,-0.008894607
LLC,0.017731665,0.008791196,0.017757969,-0.008966773
fin_count,0.017481074,0.011560306,0.017498659,-0.005938353
Protocol Type,0.017261147,0.026700227,0.017233923,0.0094663035
AVG,0.017129496,0.0067894994,0.01715989,-0.0103703905
SSH,0.0170009,0.0055004586,0.01703457,-0.011534112
Radius,0.016817449,0.02114962,0.01680533,0.00434429
Number,0.0154574765,0.05186631,0.015351298,0.036515012
ack_count,0.015384996,0.011538283,0.015396449,-0.0038581658
DHCP,0.01440392,0.0037373542,0.014435191,-0.010697836
IPv,0.014104722,0.01709694,0.014096022,0.0030009188
HTTPS,0.0134849055,0.017971314,0.013472034,0.004499281
Duration,0.013038421,0.025470825,0.013002283,0.012468542
Std,0.012707862,0.012000226,0.0127099855,-0.0007097591
Covariance,0.012278318,0.004888591,0.012300044,-0.0074114534
HTTP,0.011980777,0.019701613,0.01195842,0.007743193
Srate,0.00972962,0.008327663,0.009733864,-0.0014062012
urg_count,0.008928603,0.01760048,0.008903595,0.008696886
flow_duration,0.008928428,0.06561756,0.008763837,0.056853727
Tot size,0.008726891,0.009964695,0.008723432,0.001241263
Drate,0.008643147,0.0065212795,0.008649469,-0.00212819
Rate,0.0054050703,0.009022349,0.0053945445,0.003627804
TCP,0.0052894517,0.004774819,0.0052910107,-0.0005161916
Min,0.005121086,0.003749901,0.0051251543,-0.0013752533
DNS,0.0024052274,0.005537425,0.0023961496,0.0031412756
