Family,Precision,Recall,F1,Support
Malware,0.0,0.0,0.0,9
Web,0.0,0.0,0.0,53
BruteForce,1.0,0.15625,0.2702702702702703,32
DoS,0.832780487804878,0.41791921664626686,0.5565444172779136,20425
Recon,0.849015317286652,0.4409090909090909,0.5804038893044129,880
Spoofing,0.7922077922077922,0.540692989524577,0.64272030651341,1241
Benign,0.728956687551076,0.9657163478888487,0.8307978888543931,2771
DDoS,0.8754761482347293,0.9800231311113448,0.9248043214640062,85599
Mirai,0.998191136569189,0.9920599250936329,0.9951160868585168,6675
