Layer,Head,Mean attention entropy,Rare entropy,Common entropy,Rare-common difference
1,1,0.1933574676513672,0.06031987443566322,0.19374661147594452,-0.1334267407655716
1,2,0.04584720358252525,0.06643911451101303,0.045786965638399124,0.020652148872613907
1,3,0.005250125657767057,0.011059368029236794,0.005233132280409336,0.005826235748827457
1,4,0.23101599514484406,0.11329761892557144,0.23136034607887268,-0.11806272715330124
2,1,0.5723680257797241,0.48885291814804077,0.5726123452186584,-0.08375942707061768
2,2,0.753545880317688,0.8189839124679565,0.7533544301986694,0.06562948226928711
2,3,0.5110706090927124,0.18673156201839447,0.5120193958282471,-0.3252878189086914
2,4,0.5070511102676392,0.45208871364593506,0.5072118043899536,-0.055123090744018555
