Layer,Head,Mean attention entropy,Rare entropy,Common entropy,Rare-common difference
1,1,0.3450835049152374,0.044133905321359634,0.34596380591392517,-0.30182990431785583
1,2,0.010131035931408405,0.04637392982840538,0.010025017894804478,0.03634891286492348
1,3,0.16903023421764374,0.137967050075531,0.16912110149860382,-0.031154051423072815
1,4,0.16244907677173615,0.11760221421718597,0.16258026659488678,-0.044978052377700806
2,1,0.7391125559806824,0.613039493560791,0.7394813895225525,-0.12644189596176147
2,2,0.6196331977844238,0.26252636313438416,0.6206778287887573,-0.35815146565437317
2,3,0.7153492569923401,0.7406346797943115,0.7152752876281738,0.025359392166137695
2,4,0.8086490631103516,0.7149654626846313,0.8089231848716736,-0.09395772218704224
