Cost penalty,Accuracy,Balanced accuracy,Macro F1,Rare-class macro recall,Mean route cost,Edge route,Specialist route,Cloud route
0.0,0.8370990355610316,0.5700291435748024,0.5333234444848222,0.14471884274925878,0.3509610400645791,0.0,0.9985214768237244,0.001478523176275651
0.25,0.8371160300802991,0.5703559409604232,0.5337437004720843,0.14471884274925878,0.35089476143943577,0.0,0.9986234439393296,0.0013765560606704339
0.5,0.8371330245995666,0.5706827383460442,0.5343162774541204,0.14471884274925878,0.35084505247057823,0.0,0.9986999192760335,0.0013000807239665207
0.75,0.8371245273399329,0.5701086806261704,0.5340568833625514,0.14362868979137772,0.3507842970641968,0.0,0.9987933891320049,0.0012066108679950715
1.0,0.8371160300802991,0.5694435789047307,0.5336063638775491,0.14240395004857306,0.35070144878276743,0.0,0.9989208480265115,0.00107915197348855
1.25,0.8371075328206653,0.568969195603023,0.5334425848770081,0.1357984091191298,0.3506517398139099,0.0,0.9989973233632153,0.001002676636784637
1.5,0.8370735437821303,0.5673431056815058,0.532315995907475,0.13349478173031387,0.3505799379700046,0.0,0.9991077877384543,0.0008922122615456515
1.75,0.8370395547435951,0.5657170157599887,0.5312295779842217,0.13119115434149795,0.3504915664698134,0.0,0.9992437438925946,0.0007562561074053618
2.0,0.8369970684454263,0.563556409442181,0.5300927991855324,0.1230050835756197,0.35041976462590807,0.0,0.9993542082678336,0.0006457917321663763
2.25,0.8369800739261588,0.562667775933348,0.5296445953264459,0.12179654200360696,0.3503590092195266,0.0,0.9994476781238051,0.0005523218761949271
2.5,0.8369460848876238,0.560950642010265,0.528339991150572,0.11946123986821396,0.35029825381314517,0.0,0.9995411479797766,0.00045885202022347794
2.75,0.8369205931087225,0.5597989353904557,0.5274063106366368,0.11789491886527324,0.35024854484428763,0.0,0.9996176233164804,0.0003823766835195649
3.0,0.8368866040701873,0.5585061105682191,0.5267048557100604,0.11613667710703149,0.3501822662191443,0.0,0.9997195904320857,0.0002804095679143476
3.25,0.836861112291286,0.5575364919515416,0.5261533352879144,0.11481799578835018,0.35011598759400087,0.0,0.9998215575476909,0.00017844245230913032
3.5,0.8368526150316523,0.5573644628421311,0.5261634144710716,0.11458403619955186,0.35003866253133353,0.0,0.9999405191825637,5.9480817436376766e-05
3.75,0.8368526150316523,0.5573644628421311,0.5261634144710716,0.11458403619955186,0.35002761609380967,0.0,0.9999575137018312,4.248629816884055e-05
4.0,0.8368526150316523,0.5573644628421311,0.5261634144710716,0.11458403619955186,0.35001656965628575,0.0,0.9999745082210987,2.549177890130433e-05
4.25,0.8368526150316523,0.5573644628421311,0.5261634144710716,0.11458403619955186,0.35001656965628575,0.0,0.9999745082210987,2.549177890130433e-05
4.5,0.8368526150316523,0.5573644628421311,0.5263358489761946,0.11458403619955186,0.34999957513701824,1.699451926753622e-05,0.9999745082210987,8.49725963376811e-06
4.75,0.8368526150316523,0.5573644628421311,0.5264563794925512,0.11458403619955186,0.3499910778773845,2.549177890130433e-05,0.9999745082210987,0.0
5.0,0.8368526150316523,0.5573644628421311,0.5264563794925512,0.11458403619955186,0.3499910778773845,2.549177890130433e-05,0.9999745082210987,0.0
