Group,Samples,Accuracy,Macro F1,Mean uncertainty,Mean reconstruction error,Edge route,Specialist route,Cloud route
Common,117362,0.8373664388814096,0.4750281716367115,0.6909835338592529,0.3729214072227478,0.0,0.9996421328879876,0.00035786711201240607
Rare,323,0.6191950464396285,0.17774420865411053,0.7574902176856995,10.219522476196289,0.0,0.5913312693498453,0.4086687306501548
