Cost penalty,Accuracy,Balanced accuracy,Macro F1,Rare-class macro recall,Mean route cost,Edge route,Specialist route,Cloud route
0.0,0.8071631898712666,0.5857407809390158,0.5154392536092756,0.27812306921554136,0.3513531885966776,0.0,0.9979181713897268,0.002081828610273187
0.25,0.8071971789098016,0.5871160193462183,0.5165501722512988,0.2806982286086244,0.35125377065896246,0.0,0.9980711220631346,0.001928877936865361
0.5,0.8071886816501678,0.5869526206534079,0.5163477300127649,0.2806982286086244,0.35115987594000925,0.0,0.9982155754769086,0.001784424523091303
0.75,0.8072056761694354,0.587781121067658,0.5169756417342196,0.2824587919889061,0.35111569018991373,0.0,0.9982835535539788,0.001716446446021158
1.0,0.8072056761694354,0.5880319725819728,0.5171243938164996,0.283339073679047,0.3510604580022942,0.0,0.9983685261503166,0.001631473849683477
1.25,0.8072311679483367,0.5888640641762847,0.5179512863324717,0.2844128238725155,0.35098313293962696,0.0,0.9984874877851893,0.0015125122148107236
1.5,0.8072311679483367,0.5890238716890334,0.517947589903268,0.28509963705932867,0.35089476143943577,0.0,0.9986234439393296,0.0013765560606704339
1.75,0.8072141734290691,0.5886970743034124,0.5175760211853506,0.28509963705932867,0.3507787738454348,0.0,0.9988018863916387,0.0011981136083613034
2.0,0.8072141734290691,0.5886369412088299,0.517718514574598,0.2849718542333405,0.3507124952202914,0.0,0.9989038535072439,0.0010961464927560863
2.25,0.8071971789098016,0.587748307699997,0.5171058348931301,0.2830835080270706,0.35065173981391,0.0,0.9989973233632153,0.001002676636784637
2.5,0.8071971789098016,0.587748307699997,0.5171357700676726,0.2830835080270706,0.35060755406381433,0.0,0.9990653014402855,0.0009346985597144921
2.75,0.8071886816501678,0.5872739243982891,0.5168270454991696,0.28207544351094155,0.35049666482559366,1.699451926753622e-05,0.9992097548540596,0.000773250626672898
3.0,0.8071886816501678,0.5872739243982891,0.516871962745691,0.28207544351094155,0.35045205421251646,3.398903853507244e-05,0.9992522411522284,0.0007137698092365213
3.25,0.8071801843905341,0.5868596741911641,0.5165634963624348,0.28119516182080073,0.3503687810681055,5.098355780260866e-05,0.9993542082678336,0.0005948081743637677
3.5,0.8071801843905341,0.5868596741911641,0.5165634963624348,0.28119516182080073,0.35028593278667625,5.098355780260866e-05,0.9994816671623401,0.00046734927985724603
3.75,0.8071716871309003,0.5865055570786216,0.5163460405118907,0.28044266295664805,0.3502251773802948,5.098355780260866e-05,0.9995751370183116,0.00037387942388579683
4.0,0.8071376980923652,0.5848485562501213,0.5151560138561582,0.2606320340669032,0.3501775927263457,7.647533670391299e-05,0.9996091260568467,0.00031439860644942005
4.25,0.8070272337171263,0.579463303557495,0.5105919358214217,0.2498615286816505,0.35010026766367836,7.647533670391299e-05,0.9997280876917194,0.00019543697157666654
4.5,0.8069762501593236,0.5769778023147444,0.5082630865747422,0.2448905261961493,0.3500450354760589,7.647533670391299e-05,0.999813060288057,0.00011046437523898542
4.75,0.8069847474189574,0.5774521856164521,0.5085264239495175,0.24583929279956482,0.35000637294472525,7.647533670391299e-05,0.9998725411054935,5.098355780260866e-05
5.0,0.8069762501593236,0.5769778023147444,0.5083881258142101,0.2448905261961493,0.3499949016442197,9.346985597144921e-05,0.9998640438458597,4.248629816884055e-05
