Expert,Rank,Class,Samples,Share within expert
Expert 1,1,DDoS-UDP_Flood,13652,0.5625746899081057
Expert 1,2,DoS-UDP_Flood,8329,0.34322330737215145
Expert 1,3,Mirai-udpplain,2147,0.08847405942226068
Expert 1,4,DoS-TCP_Flood,100,0.004120822516174228
Expert 1,5,DoS-SYN_Flood,6,0.0002472493509704537
Expert 2,1,DDoS-SYN_Flood,10091,0.4162095277376779
Expert 2,2,DDoS-SynonymousIP_Flood,8978,0.37030315528975044
Expert 2,3,DoS-SYN_Flood,4964,0.2047432460301093
Expert 2,4,DDoS-PSHACK_Flood,115,0.004743246030109301
Expert 2,5,Mirai-udpplain,54,0.0022272633532687152
Expert 3,1,DDoS-PSHACK_Flood,8891,0.5677884922408838
Expert 3,2,Mirai-greeth_flood,2489,0.15895012452902485
Expert 3,3,Mirai-greip_flood,1918,0.12248547161376844
Expert 3,4,DDoS-ACK_Fragmentation,724,0.046235391787470465
Expert 3,5,DDoS-UDP_Fragmentation,713,0.04553292036528514
Expert 4,1,DDoS-ICMP_Flood,18020,0.9594292407624321
Expert 4,2,DDoS-PSHACK_Flood,719,0.03828133319135343
Expert 4,3,DDoS-ICMP_Fragmentation,32,0.001703758918113087
Expert 4,4,MITM-ArpSpoofing,10,0.0005324246619103397
Expert 4,5,DDoS-TCP_Flood,1,5.324246619103397e-05
Expert 5,1,DDoS-TCP_Flood,11358,0.6255094173367111
Expert 5,2,DoS-TCP_Flood,6633,0.3652935345302346
Expert 5,3,DDoS-PSHACK_Flood,41,0.002257957924881595
Expert 5,4,DDoS-SlowLoris,24,0.0013217314682233727
Expert 5,5,DoS-UDP_Flood,21,0.001156515034695451
Expert 6,1,DDoS-RSTFINFlood,10169,0.6135513454808736
Expert 6,2,BenignTraffic,2757,0.16634487751900567
Expert 6,3,DDoS-ICMP_Fragmentation,1070,0.06455894774948714
Expert 6,4,MITM-ArpSpoofing,749,0.045191263424641005
Expert 6,5,DDoS-PSHACK_Flood,563,0.0339688668999638
