Group,Samples,Accuracy,Macro F1,Mean uncertainty,Mean reconstruction error,Edge route,Specialist route,Cloud route
Common,117362,0.8073908079276086,0.45670247031910494,0.799981951713562,0.31399452686309814,0.0,0.999429116749885,0.0005708832501150287
Rare,323,0.6656346749226006,0.2874622583174904,0.7529696822166443,7.314030647277832,0.0,0.44891640866873067,0.5510835913312694
