Class,Precision,Recall,F1,Support,False negatives,Is rare
BrowserHijacking,0.0,0.0,0.0,13,13,True
Recon-PingSweep,0.0,0.0,0.0,5,5,True
Uploading_Attack,0.0,0.0,0.0,3,3,True
XSS,0.012658227848101266,0.2,0.023809523809523808,10,8,True
Backdoor_Malware,0.016835016835016835,0.5555555555555556,0.032679738562091505,9,4,True
Recon-OSScan,0.23809523809523808,0.0205761316872428,0.03787878787878788,243,238,False
DoS-TCP_Flood,0.8149466192170819,0.03382570162481536,0.0649553254857467,6770,6541,False
SqlInjection,0.05,0.13333333333333333,0.07272727272727272,15,13,True
CommandInjection,0.04395604395604396,0.3333333333333333,0.07766990291262135,12,8,True
DictionaryBruteForce,0.5555555555555556,0.15625,0.24390243902439024,32,27,True
Recon-PortScan,0.37037037037037035,0.19230769230769232,0.25316455696202533,208,168,False
DNS_Spoofing,0.4565916398713826,0.31072210065645517,0.3697916666666667,457,315,False
Mirai-greip_flood,0.6016949152542372,0.2946058091286307,0.3955431754874652,1928,1360,False
DDoS-SlowLoris,0.34814814814814815,0.7580645161290323,0.47715736040609136,62,15,True
Recon-HostDiscovery,0.5373134328358209,0.5405405405405406,0.5389221556886228,333,153,False
VulnerabilityScan,0.3878504672897196,0.9120879120879121,0.5442622950819672,91,8,True
DDoS-HTTP_Flood,0.4369747899159664,0.7323943661971831,0.5473684210526316,71,19,True
DoS-UDP_Flood,0.8427618842761885,0.4684921678823389,0.6022133415308946,8363,4445,False
DoS-SYN_Flood,0.9134908536585366,0.4688967136150235,0.6197001034126164,5112,2715,False
MITM-ArpSpoofing,0.7464539007092199,0.5369897959183674,0.6246290801186943,784,363,False
Mirai-greeth_flood,0.6100957354221062,0.8435619735258725,0.7080808080808081,2493,390,False
DoS-HTTP_Flood,0.7401129943502824,0.7277777777777777,0.7338935574229691,180,49,False
DDoS-TCP_Flood,0.6329546090558011,0.9942852118867592,0.773502958175165,11374,65,False
BenignTraffic,0.8168472562041245,0.8433778419343197,0.8299005681818182,2771,434,False
DDoS-UDP_Flood,0.7457783413059766,0.946459918080749,0.834219772426909,13672,732,False
DDoS-SYN_Flood,0.7679460414324715,0.9357205752861755,0.8435722160970232,10221,657,False
DDoS-SynonymousIP_Flood,0.9506079027355623,0.9678381962864722,0.9591456736035049,9048,291,False
DDoS-ACK_Fragmentation,0.9676113360323887,0.9835390946502057,0.9755102040816327,729,12,False
DDoS-UDP_Fragmentation,0.975103734439834,0.9764542936288089,0.9757785467128027,722,17,False
DDoS-ICMP_Fragmentation,1.0,0.9657894736842105,0.9825970548862115,1140,39,False
Mirai-udpplain,0.9977668602054489,0.9911268855368234,0.9944357890051191,2254,20,False
DDoS-PSHACK_Flood,0.999223828466091,0.9967095712764928,0.9979651162790698,10333,34,False
DDoS-RSTFINFlood,0.9997048986818807,0.9981339618935376,0.9989188126597208,10182,19,False
DDoS-ICMP_Flood,0.9997225305216426,0.99833748960931,0.9990295300152502,18045,30,False
