Class,Precision,Recall,F1,Support,False negatives,Is rare
BrowserHijacking,0.0,0.0,0.0,13,13,True
Recon-PingSweep,0.0,0.0,0.0,5,5,True
Uploading_Attack,0.0,0.0,0.0,3,3,True
XSS,0.012658227848101266,0.2,0.023809523809523808,10,8,True
Backdoor_Malware,0.016835016835016835,0.5555555555555556,0.032679738562091505,9,4,True
SqlInjection,0.05,0.13333333333333333,0.07272727272727272,15,13,True
CommandInjection,0.04395604395604396,0.3333333333333333,0.07766990291262135,12,8,True
DictionaryBruteForce,0.5555555555555556,0.15625,0.24390243902439024,32,27,True
DDoS-SlowLoris,0.34814814814814815,0.7580645161290323,0.47715736040609136,62,15,True
VulnerabilityScan,0.3878504672897196,0.9120879120879121,0.5442622950819672,91,8,True
DDoS-HTTP_Flood,0.4369747899159664,0.7323943661971831,0.5473684210526316,71,19,True
