Layer,Feature,Attention
1,flow_duration,0.0017893738113343716
1,Header_Length,0.008752439171075821
1,Protocol Type,0.2062421590089798
1,Duration,0.027486588805913925
1,Rate,0.0012736849021166563
1,Srate,0.0017603987362235785
1,Drate,0.00030486303148791194
1,fin_flag_number,0.043472301214933395
1,syn_flag_number,0.0038592545315623283
1,rst_flag_number,0.0006069224327802658
1,psh_flag_number,0.014227344654500484
1,ack_flag_number,0.012127081863582134
1,ece_flag_number,0.0004226994060445577
1,cwr_flag_number,0.00016593848704360425
1,ack_count,0.0002633353287819773
1,syn_count,0.05172313004732132
1,fin_count,0.05812886357307434
1,urg_count,0.014527589082717896
1,rst_count,0.008605756796896458
1,HTTP,0.014314373955130577
1,HTTPS,0.005551761481910944
1,DNS,0.007312748581171036
1,SSH,0.00011590436042752117
1,TCP,0.005011809524148703
1,UDP,0.01566806621849537
1,DHCP,0.00014625293260905892
1,ARP,0.000468401558464393
1,ICMP,0.042708154767751694
1,IPv,0.0007154510240070522
1,LLC,0.0001681478024693206
1,Tot sum,0.0046135978773236275
1,Min,0.02862429991364479
1,Max,0.00033106887713074684
1,AVG,0.006416353862732649
1,Std,0.013946602120995522
1,Tot size,0.07413939386606216
1,IAT,0.25362324714660645
1,Number,0.0007901179487816989
1,Magnitue,0.034674424678087234
1,Radius,0.002085244283080101
1,Covariance,0.00044309618533588946
1,Variance,0.031760506331920624
1,Weight,9.440658323001117e-05
2,flow_duration,0.029298540204763412
2,Header_Length,0.009052940644323826
2,Protocol Type,0.014760924503207207
2,Duration,0.023593183606863022
2,Rate,0.04710366576910019
2,Srate,0.05079915374517441
2,Drate,0.011759776622056961
2,fin_flag_number,0.04575219750404358
2,syn_flag_number,0.06567183136940002
2,rst_flag_number,0.013697651214897633
2,psh_flag_number,0.06240418925881386
2,ack_flag_number,0.012980252504348755
2,ece_flag_number,0.013080703094601631
2,cwr_flag_number,0.028837108984589577
2,ack_count,0.03098132275044918
2,syn_count,0.057722821831703186
2,fin_count,0.01377799827605486
2,urg_count,0.012040872126817703
2,rst_count,0.008828191086649895
2,HTTP,0.012861042283475399
2,HTTPS,0.03826383501291275
2,DNS,0.013459460809826851
2,SSH,0.010272709652781487
2,TCP,0.026829054579138756
2,UDP,0.015975821763277054
2,DHCP,0.015492431819438934
2,ARP,0.03563565015792847
2,ICMP,0.010389474220573902
2,IPv,0.008340640924870968
2,LLC,0.0060528479516506195
2,Tot sum,0.010831527411937714
2,Min,0.033921726047992706
2,Max,0.009991881437599659
2,AVG,0.05381978303194046
2,Std,0.008517352864146233
2,Tot size,0.008819960989058018
2,IAT,0.02256258949637413
2,Number,0.017291463911533356
2,Magnitue,0.027069153264164925
2,Radius,0.016890719532966614
2,Covariance,0.008253269828855991
2,Variance,0.020225556567311287
2,Weight,0.014284388162195683
