Group,Samples,Mean,Std,Median,Q1,Q3,P95
Common correct,98275,0.07002181559801102,1.0974732637405396,0.01039043441414833,0.0069955820217728615,0.029199816286563873,0.17282786965370178
Common incorrect,19087,1.932489037513733,185.30099487304688,0.010009237565100193,0.007453008554875851,0.02599659562110901,0.6287145018577576
Rare correct,200,14.997525215148926,88.89749145507812,0.44556012749671936,0.29597485065460205,1.2580517530441284,3.043882131576538
Rare incorrect,123,2.450411319732666,20.815814971923828,0.4479997456073761,0.27735355496406555,0.6568320989608765,1.7364283800125122
