Family,Samples,Expert 1,Expert 2,Expert 3,Expert 4,Expert 5,Expert 6
Benign,2771,0.0,0.0,0.005052327679538073,0.0,0.0,0.9949476723204619
BruteForce,32,0.0,0.0,0.03125,0.0,0.0,0.96875
DDoS,85599,0.15974485683243964,0.2242315914905548,0.12465098891342188,0.21930162735545977,0.13397352772812768,0.13809740767999626
DoS,20425,0.41297429620563036,0.24460220318237455,0.015226438188494493,0.0,0.32636474908200735,0.000832313341493268
Malware,9,0.0,0.0,0.5555555555555556,0.0,0.0,0.4444444444444444
Mirai,6675,0.32254681647940076,0.008089887640449439,0.6680149812734082,0.0,0.0008988764044943821,0.00044943820224719103
Recon,880,0.005681818181818182,0.0011363636363636363,0.13636363636363635,0.0,0.020454545454545454,0.8363636363636363
Spoofing,1241,0.0,0.0,0.053988718775181306,0.008058017727639,0.0,0.9379532634971797
Web,53,0.0,0.0,0.22641509433962265,0.0,0.0,0.7735849056603774
